Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second
Intéressé par 31 vélos de route moins coûteux,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Intéressé par 31 vélos de route moins coûteux,,,First name Last name,Jose Curry,Andreas Herbinger,,0,-1,5,12,0,0
Disponibilité des pièces de rechange,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Connie Watson,,,0,-1,1,12,0,0
Marketing pour la liste des derniers prix,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Connie Watson,,,0,-2,28,12,0,0
10 vélos de route et de tourisme.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,10 vélos de route et de tourisme.,,,First name Last name,Alan Jackson,AndreasHanefeld Dziegiel,,0,-1,1,12,0,0
Informations sur le remplacement du dérailleur d'un Route-250,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Ryan Williams,,,0,-2,28,12,0,0
Dérailleurs fissurés dans le lot de 100 VTT,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Dérailleurs fissurés dans le lot de 100 modèles de VTTl,,,First name Last name,Ben Burton,Dérailleurs fissurés dans le lot de 100 VTT,,0,-1,11,12,0,0
Bon prospect pour des cadres,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Bon prospect pour des cadres,,,First name Last name,Patricia San Juan,Jean-Charles Colon,,0,-3,12,12,0,0
Entreprise de loisirs XYZ - vélo de tourisme modèle 3000 ; différentes tailles et couleurs.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Entreprise de loisirs XYZ - vélo de tourisme modèle 3000 ; différentes tailles et couleurs.,,,First name Last name,Alan Jackson,Devis pour un vélo de tourisme,,0,-1,12,10,0,0
4 vélos de tourisme.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,4 vélos de tourisme.,,,First name Last name,Gail Erickson,Stefan Rißling,,0,-1,5,10,0,0
47 VTT-400 et VTT-400-W.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,47 VTT-400 et VTT-400-W.,,,First name Last name,Gail Erickson,Dorena Paschke,,0,-1,10,10,0,0
"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,First name Last name,Alan Jackson,Reto Käch,,0,-1,15,12,0,0
Informations sur le remplacement du dérailleur d'un Route-250,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Roger Van Houten,Informations sur le remplacement du dérailleur d'un Route-250,,0,-1,25,12,0,0
"Commande de vélos Route-550, modèle pour femme par Équipements de loisirs XYZ",email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,"Commande de vélos Route-550, modèle pour femme par Équipements de loisirs XYZ",,,First name Last name,Gail Erickson,Devis pour des Route-550-W,,0,-1,15,15,0,0
Commande pour 26 vélos cette année.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Commande pour 26 vélos cette année.,,,First name Last name,Gail Erickson,Joris Kalz,,0,-1,10,10,0,0
Participe à notre concours marketing dont le prix est un vélo.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Participe à notre concours marketing dont le prix est un vélo.,,,First name Last name,Jose Curry,Dominik Steiner,,0,-1,24,12,0,0
10 vélos de tourisme cet été,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,10 vélos de tourisme cet été,,,First name Last name,Jose Curry,10 vélos de tourisme cet été,,0,-1,12,10,0,0
"Souhaite de la documentation sur les cadres, les selles et les vélos de tourisme.",email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,"Souhaite de la documentation sur les cadres, les selles et les vélos de tourisme.",,,First name Last name,Alan Jackson,Antoine Faisandier,,0,-10,1,12,0,0
54 vélos de différents modèles.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,54 vélos de différents modèles.,,,First name Last name,Alan Jackson,JaimeHumbertoBastidas Patiño,,0,-1,1,12,0,0
13 vélos de route ou de tourisme.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,13 vélos de route ou de tourisme cette année.,,,First name Last name,Alan Jackson,Massimiliano Monaco,,0,-1,10,12,0,0
VTT et vélos de route ; peut-être des vêtements.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,VTT et vélos de route ; peut-être des vêtements.,,,First name Last name,Jose Curry,Patrice Dupont-Roc,,0,-1,1,12,0,0
32 vélos de tout type.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,32 vélos de tout type.,,,First name Last name,Alan Jackson,Mads Ebdrup,,0,-2,28,12,0,0
Intéressé par 110 vélos.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Intéressé par 110 vélos.,,,First name Last name,Jose Curry,Roberto Scaringella,,0,-1,11,12,0,0
Vélos de tourisme exclusivement ; casquettes ou bouteilles d'eau commandées comme promotion.,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Vélos de tourisme exclusivement ; casquettes ou bouteilles d'eau commandées comme promotion.,,,First name Last name,Alan Jackson,Nina Vietzen,,0,-10,1,12,0,0
Intéressé par 60 vélos de route,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Intéressé par 60 vélos de route,,,First name Last name,Alan Jackson,Marie Dubois,,0,-1,1,12,0,0
Pédales spéciales pour les chaussures de l'AWC ?,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Roger Van Houten,Pédales spéciales pour les chaussures de l'AWC ?,,0,-1,10,12,0,0
"Devis pour Location de vélos XYZ - 5 de nos meilleurs vélos de route, le Route-150",email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,"Devis pour Location de vélos XYZ - 5 de nos meilleurs vélos de route, le Route-150",,,First name Last name,Alan Jackson,Devis pour un Route-150,,0,-1,15,12,0,0
Devis à Détaillants pour vélos LMN pour 25 VTT gris métallisés,email,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Devis à Détaillants pour vélos LMN pour 25 VTT gris métallisés,,,First name Last name,Jose Curry,Devis pour un VTT (modèle 200),,0,-1,13,12,0,0
