Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second
"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Gail Erickson,Joachim Seidler,,0,-1,17,12,0,0,0,-1,17,12,0,0
tube de selle plus court pour le Tourisme-2000,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Roger Van Houten,Remplacement du tube de selle,,0,-1,3,12,0,0,0,-1,3,12,0,0
5 vélos de tourisme - moyen et bas de gamme,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Jose Curry,5 vélos de tourisme - moyen et bas de gamme,,0,-2,10,12,0,0,0,-2,10,12,0,0
disponibilité des catalogues de produits,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Roger Van Houten,Comment puis-je recevoir un catalogue des produits ?,,0,-2,12,12,0,0,0,-2,12,12,0,0
Bon prospect pour des cadres,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Gail Erickson,Fabricio Noriega,,0,-2,11,12,0,0,0,-2,11,12,0,0
couleurs disponibles pour l'ensemble de nos modèles de vélo 2003,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Ryan Williams,,,0,-1,2,12,0,0,0,-1,2,12,0,0
Devis des magasins Magasin du VTT ABC pour 20 vélos de tourisme et 50 casquettes,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Alan Jackson,Devis pour un vélo de tourisme et une casquette,,0,-1,1,12,0,0,0,-1,1,12,0,0
Commandera très certainement 18 vélos de route,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Jose Curry,Markus Zulechner,,0,-1,11,12,0,0,0,-1,11,12,0,0
taille du jeu de pédalier pour le Tourisme-1000 2001 d'un client,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Connie Watson,,,0,-1,4,15,30,0,0,-1,4,15,30,0
Présentation des vélos de route haut de gamme,phonecall,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Jose Curry,34 vélos de route moyen de gamme,,0,-4,10,15,0,0,0,-4,10,15,0,0
