Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Due Date year,Due Date month,Due Date day,Due Date hour,Due Date min,Due Date second,Start Date year,Start Date month,Start Date day,Start Date hour,Start Date min,Start Date second
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-3,6,12,0,0,0,-3,6,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-2,4,7,0,0,0,-2,4,7,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-3,-24,12,0,0,0,-3,-24,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-1,-10,12,0,0,0,-1,-10,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-3,6,12,0,0,0,-3,6,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,-1,7,30,12,0,0,-1,7,30,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-2,30,12,0,0,0,-2,30,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-1,25,12,0,0,0,-1,25,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,0,-8,12,0,0,0,0,-8,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-1,15,12,0,0,0,-1,15,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,-1,12,12,0,0,0,-1,12,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,-3,10,12,0,0,0,-3,10,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,-2,1,12,0,0,0,-2,1,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,2,0,12,0,0,0,2,0,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,2,1,12,0,0,0,2,1,12,0,0
