Full Name,Business Phone,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Aging 30,Aging 60,Aging 90,Anniversary,Annual Income,Assistant,Assistant Phone,Backoffice Customer,Birthday,Childrens Names,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Department,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Education,E-mail,E-mail Address 2,E-mail Address 3,Employee,Fax,First Name,FTP Site,Gender,Government,Has Children,Home Phone,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Manager,Manager Phone,Marital Status,Middle Name,Mobile Phone,Modified By,Modified On,Nickname,No. of Children,Originating Lead,Propriétaire,Pager,Parent Customer,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Role,Salutation,Send Marketing Materials,Shipping Method,Spouse Name,Status,Status Reason,Suffix,Telephone 3,Territory,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name
Michael Cordani,123 4567,,Poitiers,France,,,,,,,,,,,Poitou - Charentes,589, avenue du Lundi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Dick,,,,,,Propriétaire,,Beekman,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Entreprise de performances LMN,,,,1,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Mads Ebdrup,123 4567,,Nancy,France,,,,,,,,,,,Lorraine,334, avenue du Samedi,,,,,,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Mads,,,,,,Propriétaire,,Ebdrup,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Location de vélos XYZ,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Sidsel Øby,123 4567,,Nice,France,,,,,,,,,,,Provence - Alpes - Côte d'Azur,778, boulevard du Mercredi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Sidsel,,,,,,Propriétaire,,Øby,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Accessoires de sport LMN,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Peter Krschne,123 4567,,Montpellier,France,,,,,,,,,,,Languedoc - Roussillon,225, boulevard du Lundi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Peter,,,,,,Directeur des achats,,Krschne,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Fournitures de compétition XYZ,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Barbara Zighetti,123 4567,,Lille,France,,,,,,,,,,,Nord - Pas-de-Calais,334, rue du Vendredi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Barbara,,,,,,Assistant pour les achats,,Zighetti,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Magasin de remise en forme ABC,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Vanessa Garcia,123 4567,,Toulouse,France,,,,,,,,,,,Midi - Pyrénées,556, avenue du Mardi,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Vanessa,,,,,,Assistant pour les achats,,Garcia,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Fournitures pour remise en forme ABC,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
ThomasBardenfleth Nielsen,123 4567,,Montpellier,France,,,,,,,,,,,Languedoc - Roussillon,778, rue du Lundi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,ThomasBardenfleth,,,,,,Directeur des achats,,Nielsen,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Détaillants des loisirs LMN,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Martin Hansen,123 4567,,Nice,France,,,,,,,,,,,Provence - Alpes - Côte d'Azur,223, boulevard du Samedi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Martin,,,,,,Assistant pour les achats,,Hansen,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Entreprise du sport LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Agostino Martino,123 4567,,Lille,France,,,,,,,,,,,Nord - Pas-de-Calais,225, rue du Dimanche,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Agostino,,,,,,Propriétaire,,Martino,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Fournitures pour remise en forme XYZ,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Daniel Goldschmidt,123 4567,,Châlons-en-Champagne,France,,,,,,,,,,,Champagne - Ardenne,225, avenue du Samedi,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Daniel,,,,,,Responsable des assistants,,Goldschmidt,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Distributeurs de VTT XYZ,,,,2,,,,,,,,0,,,Actif,1,,,,,,,,
