Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Propriétaire,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second,CreatedDate,Id
Christine Oßwald-Flynn,Équipements pour vélo LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Marseille,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"44 000,00",,Christine,,14,Assistant aux achats,,Oßwald-Flynn,Autre,,,First name Last name,1/24/2008,94,,Patricia San Juan,,5,,1,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,225.0, avenue du Lundi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,13001,1,0,23,21,42,45,2021-04-05 11:19:57.708896,0
Pernille Halberg,Centre du VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Marseille,,First name Last name,1/24/2008,,Pages jaunes,,0,1,0,0,someone@example.com,,,,"1 200,00",,Pernille,,14,Assistant aux achats,,Halberg,Autre,,,First name Last name,1/24/2008,43,,Patricia San Juan,,1,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,113.0, impasse du Lundi,,Nouveau magasin ouvert cette année - à suivre,,,,,,13001,1,1,12,21,42,45,2021-04-05 11:19:57.708896,1
Iris Rogers,Magasin de remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Amiens,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"25 500,00",,Iris,,14,Propriétaire,,Rogers,Autre,,,First name Last name,1/24/2008,9,,Jose Curry,,2,,2,,,0,,,Picardie,Inclus,3,445.0, avenue du Jeudi,,10-15 vélos de tourisme ce printemps,,,,,,80080,1,3,13,21,42,45,2021-04-05 11:19:57.708896,2
Anette Grohsmüller,Accessoires pour VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Marseille,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"64 000,00",,Anette,,14,Assistant aux achats,,Grohsmüller,Référence d'employé,,,First name Last name,1/24/2008,97,,Patricia San Juan,,2,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,112.0, impasse du Mercredi,,100 VTT,,,,,,13001,1,3,13,21,42,45,2021-04-05 11:19:57.708896,3
Christian Cletus,Magasin de loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Montpellier,,First name Last name,1/24/2008,,4 vélos cette année.,,0,1,0,0,someone@example.com,,,,"23 000,00",,Christian,,14,Propriétaire,,Cletus,Publicité,,,First name Last name,1/24/2008,2,,Gail Erickson,,1,,1,,,0,,,Languedoc - Roussillon,Exclus,4,334.0, rue du Samedi,,Commandera environ 4 vélos cette année.,,,,,,34070,0,10,29,21,42,45,2021-04-05 11:19:57.708896,4
JoséIgnacio Peiro-Alba,Magasin de loisirs LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Orléans,,First name Last name,1/24/2008,,74 vélos cette année.,,0,0,0,0,someone@example.com,,,,"64 000,00",,JoséIgnacio,,14,Directeur des achats,,Peiro Alba,Publicité,,,First name Last name,1/24/2008,37,,Patricia San Juan,,1,,1,,,0,,,Centre,Ouvert,1,334.0, rue du Mercredi,,Commandera environ 74 vélos cette année.,,,,,,45000,0,11,29,21,42,45,2021-04-05 11:19:57.708896,5
Jesper Aaberg,Détaillants pour cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Montpellier,,First name Last name,1/24/2008,,82 vélos cette année.,,0,1,0,0,someone@example.com,,,,"66 000,00",,Jesper,,14,Directeur des achats,,Aaberg,Publicité,,,First name Last name,1/24/2008,41,,Patricia San Juan,,4,,1,,,0,,,Languedoc - Roussillon,Ouvert,1,113.0, rue du Mardi,,Commandera environ 82 vélos cette année.,,,,,,34070,0,11,29,21,42,45,2021-04-05 11:19:57.708896,6
Roberto Scaringella,Détaillants pour vélos XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Saint-Étienne,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"66 000,00",,Roberto,,14,Assistant aux achats,,Scaringella,Référence d'employé,,,First name Last name,1/24/2008,55,,Jose Curry,,4,,2,,,0,,,Rhône - Alpes,Inclus,3,123.0, avenue du Jeudi,,Intéressé par 110 vélos.,,,,,,42000,1,0,23,21,42,45,2021-04-05 11:19:57.708896,7
Ursula Fliegl,Entreprise de cycles ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Nice,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"22 000,00",,Ursula,,14,Propriétaire,,Fliegl,Autre,,,First name Last name,1/24/2008,13,,Alan Jackson,,1,,1,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,123.0, rue du Vendredi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,O6100,1,0,23,21,42,45,2021-04-05 11:19:57.708896,8
Cornelia Weiler,Centre de remise en forme LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Nancy,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"25 500,00",,Cornelia,,14,Directeur des achats,,Weiler,Web,,,First name Last name,1/24/2008,46,,Patricia San Juan,,2,,2,,,0,,,Lorraine,Ouvert,1,113.0, avenue du Mardi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,54000,1,1,12,21,42,45,2021-04-05 11:19:57.708896,9
